;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;MODE ADMINISTRATION REGIE;MODE ADMINISTRATION PENSION;DATE RENOUVELLEMENT MOIS;DATE RENOUVELLEMENT ANNEE;PROPRIETE BATIMENT VILLE;PROPRIETE BATIMENT ETAT;ETAT BATIMENT BON;ETAT BATIMENT ASSEZ;ETAT BATIME MAUVAIS;PROPRIETE MOBILIER VILLE;PROPRIETE MOBILIER PRINCIPAL;ETAT MOBILIER BON;ETAT MOBILIER ASSEZ;ETAT MOBILIER MAUVAIS;ENSEIGNE CLASSIQUE TAUX;ENSEIGNE CLASSIQUE RETRIBUTION;ENSEIGNEMENT SPECIAL TAUX;ENSEIGNE SPECIAL RETRIBUTION;TAUX FRAIS ETUDES CLASSIQUES;TAUX FRAIS ETUDES SPECIALES;RECETTE SUBVENTION ETAT ENTRETIEN;RECETTE SUBVENTION ETAT ASSURANCE;RECETTE SUBVENTION COMMUNE;RECETTE SUBVENTION DEPARTEMENT;RECETTE PRODUIT PENSION;RECETTE PRODUIT ETUDES;RECETTE ABONNEMENTS;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;COLLEGE CHAIRE MATHEMATIQUES;COLLEGE CHAIRE REGULIERES;COLLEGE PLUSIEURS CHAIRES;COLLEGE LIMITE RHETORIQUE;COLLEGE LIMITE SECOND;COLLEGE LIMITE TROISIEME;COLLEGE DIVISION GRAMMAIRE;COLLEGE ENSEIGNEMENT 6;COLLEGE ENSEIGNEMEENT 5;COLLEGE ENSEIGNEMEENT 4;COLLEGE ENSEIGNEMEENT 3;COLLEGE ENSEIGNEMEENT 2;COLLEGE ENSEIGNEMEENT 1;COLLEGE ECOLE PRIMAIRE;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE BOURSE FONDATION;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES BOURSE NATIONALE;ELEVE EXTERNE BOURSE DEPARTEMENTALE;ELEVE EXTERNE BOURSE COMMUNALE;ELEVE EXTERNE BOURSE FONDATION;ELEVE EXTERNES LIBRE;ELEVE EXTERNE ETABLISSEMENT;ELEVE EXTERNES TOTAL;ELEVES TOTAL GENERAL;ELEVE CLASSE MATHEMATIQUES SUPERIEUR NOUVEAU;ELEVE CLASSE MATHEMATIQUES SUPERIEUR VETERAN;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 7;ELEVE CLASSIQUE TOTAL;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;REPARTITION ELEVE TOTAL;EN PREPA ECOLE NORMALE SCIENCE;EN PREPA ECOLE NORMALE LETTRE;EN PREPA ECOLE POLYTECHNIQUE;EN PREPA ECOLE SAINT-CYR;EN PREPA ECOLE NAVALE;EN PREPA ECOLE FORESTIERE;EN PREPA ECOLE CENTRALE;EN PREPA ECOLE NORMALE CLUNY;PROFESSEUR CLASSIQUE SCIENCE;PROFESSEUR CLASSIQUE PHILOSOPHIE;PROFESSEUR CLASSIQUE HISTOIRE;PROFESSEUR CLASSIQUE RHETORIQUE;PROFESSEUR CLASSIQUE GRAMMAIRE;PROFESSEUR CLASSIQUE ELEMENTAIRE;PROFESSEUR CLASSIQUE LANGUES;PROFESSEUR CLASSIQUE TOTAL;PROFESSEUR SPECIAL;PROFESSEUR CLASSE PRIMAIRE;PROFESSEUR TOTAL GENERAL;ELEVE CLASSIQUE MATHEMATIQUES;ELEVE CLASSIQUE PHILOSOPHIE;ELEVE CLASSIQUE RHETORIQUE;ELEVE CLASSIQUE GRAMMAIRE;ELEVE CLASSIQUE ELEMENTAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL;ELEVE CLASSE PRIMAIRE;ELEVE TOTAL GENERAL;NOMBRE PROFESSEURS;NOMBRE ELEVES;RAPPORT NOMBRE PROFFESSEURS ELEVES
1;0;FRANCE;0;NA;-0.01;-0.01;-0.01;40;198;NA;0;226;9;90;94;54;234;4;71;87;80;466;69;467;63;76;70;1243764.96;1265888.3500000001;3457612.8700000001;65772.149999999994;6402845.4299999997;1811969.4399999999;686121.14000000001;14950075;8404456.9199999999;4478847.9699999997;1601106.8200000001;14484412;1;64;83;13;0;30;33;36;48;68;73;10;1;220;1589;459;161;58;9611;2039;13932;56;49;2316;43;19459;231;22154;36086;41;36;2050;474;87;819;208;908;1484;1984;2034;2284;2566;2393;17368;7053;4156;3752;2420;904;331;102;11665;36086;4;3;40;38;20;0;26;11;492;130;125;353;456;311;283;2150;671;376;3197;2132;556;3422;6312;4949;17371;11666;7067;36104;3105;35027;NA
2;0;PARIS;0;NA;-0.01;-0.01;-0.01;8;16;NA;NA;24;0;14;6;4;22;2;10;7;7;582;82;566;73;101;90;145941.64999999999;111812.17999999999;429832.82000000001;600;1552250.45;311889.04999999999;296902.15999999997;2849228;1400588.03;857115.28000000003;537794.71999999997;2795498;1;8;8;1;0;3;2;6;3;8;7;0;0;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;1;ROLLIN;501;1826;15680;6976;8704;1;0;NA;NA;1;0;1;0;0;1;0;1;0;0;1300;NA;1300;NA;250;250;NA;NA;30665.68;NA;616657.25;154097;170321.85000000001;971742;519547.39000000001;204030.88;248163.51000000001;971742;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;59;0;274;269;604;0;0;26;0;639;12;677;1281;41;36;108;42;3;35;2;43;84;101;84;84;111;90;864;120;105;105;87;0;0;0;297;1281;4;3;40;14;0;0;26;0;14;1;3;7;10;7;6;48;14;4;66;185;45;164;269;201;864;297;120;1281;66;1281;19
4;1;BEAUVAIS;540;1804;11000;2970;8030;1;0;1;1881;1;0;0;0;1;1;0;0;0;1;700;NA;625;NA;130;90;4725;6574.4300000000003;20322.18;NA;104798.10000000001;12239.25;27165.5;175824;73297.5;59247.25;43279.709999999999;175824;0;1;0;0;0;0;0;0;1;0;0;0;0;1;22;0;6;1;134;11;174;1;0;5;0;102;17;125;299;0;0;28;10;1;13;2;8;24;21;29;17;17;16;186;21;25;33;20;6;5;3;92;299;0;0;0;0;0;0;0;0;3;1;1;3;3;2;2;15;7;2;24;28;11;47;67;33;186;93;21;299;24;299;12
5;1;BLOIS;549;1808;4800;1480;3320;1;0;1;1881;1;0;0;1;0;1;0;0;1;0;560;NA;560;NA;130;130;14920;7023.2700000000004;45048.360000000001;NA;38901.5;7216.0500000000002;2194.5;115304;65247.129999999997;29679.759999999998;20376.790000000001;115304;0;1;0;0;0;0;0;1;0;0;0;0;0;1;16;6;1;0;38;17;78;0;0;0;0;102;0;102;180;0;0;9;0;2;2;1;8;8;9;8;12;15;18;92;31;23;13;11;4;0;6;57;180;0;0;0;2;0;0;0;0;3;1;1;3;3;2;2;15;4;2;21;9;2;19;29;33;92;57;31;180;21;180;8
6;1;CHALONS-SUR-MARNE;570;1804;7440;2957;4483;1;0;2;1881;1;0;0;1;0;1;0;0;0;1;477;98;477;98;90;90;5250;7132.6599999999999;31145;NA;31859;13848;9340.9500000000007;98576;49740.480000000003;38082.739999999998;13653.82;101477;0;1;0;0;0;0;0;0;0;1;0;0;0;1;7;6;0;0;37;10;60;1;0;0;0;160;0;161;221;0;0;24;4;1;6;3;6;14;12;4;21;17;21;133;37;20;13;17;1;0;0;51;221;0;0;0;4;1;0;0;0;4;1;1;3;3;2;2;16;1;2;19;24;5;29;37;38;133;51;37;221;19;221;12
7;2;CHATEAUDUN;575;1813;2079;854;1225;0;1;1;1881;1;0;1;0;0;1;0;0;0;1;500;70;500;40;80;50;3400;5440.5299999999997;14950;NA;19200;4000;NA;46991;25140;16000;3500;44640;0;0;1;0;0;0;0;0;0;0;1;0;0;1;4;3;0;0;29;3;39;0;0;0;0;68;0;68;107;0;0;9;2;0;2;0;5;6;5;6;7;4;8;54;20;10;15;8;0;0;0;33;107;0;0;0;0;0;0;0;0;2;1;1;1;1;1;2;9;2;1;12;9;2;13;18;12;54;33;20;107;12;107;9
8;2;CLERMONT;586;1804;6096;419;5677;0;1;1;1881;1;0;1;0;0;1;0;1;0;0;500;24;500;24;50;40;6696.6499999999996;1649.9100000000001;8797.6299999999992;NA;11540;1674.4000000000001;942;31301;18096.59;8300;3732;30129;0;0;0;0;0;1;0;0;0;1;0;0;0;1;6;0;0;0;13;1;20;0;0;0;0;50;0;50;70;0;0;4;0;0;0;0;0;0;2;4;2;9;4;25;27;10;4;3;1;0;0;18;70;0;0;0;1;0;0;0;0;2;0;0;0;2;1;1;6;1;2;9;4;0;0;8;13;25;18;27;70;9;70;8
9;3;COMPIEGNE;589;1804;8870;2564;6306;1;0;2;1881;1;0;1;0;0;1;0;1;0;0;700;NA;640;NA;145;110;6600;5202.4899999999998;29022.779999999999;NA;86889.550000000003;11182.5;11975.4;150873;66650.020000000004;56692.129999999997;27530.57;150873;0;1;0;0;0;0;0;0;1;0;0;0;0;1;13;0;0;0;117;7;137;0;0;0;0;125;0;125;262;0;0;12;6;0;7;0;8;8;18;18;12;14;17;120;37;36;30;29;6;4;0;105;262;0;0;0;0;0;0;0;0;3;1;1;3;3;2;2;15;5;2;22;12;6;23;48;31;120;105;37;262;22;262;11
10;1;COULOMMIERS;596;1876;12514;2319;10195;0;1;1;1881;1;0;1;0;0;0;1;1;0;0;550;100;550;100;120;120;8500;6900;18200;NA;57400;9000;500;100500;29300;38600;27200;95100;0;0;1;0;0;0;0;0;0;1;0;0;0;1;12;1;0;0;83;7;103;1;0;0;0;53;0;54;157;0;0;12;1;0;6;2;3;8;16;10;11;17;11;97;15;15;17;7;6;0;0;45;157;0;0;0;0;0;0;0;0;2;1;0;1;2;2;1;9;2;1;12;12;1;19;37;28;97;45;15;157;12;157;13
