;ETABLISSEMENT;TYPE ETABLISSEMENT;CODE DU LYCEE OU COLLEGE;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;EXTERNAT BOURSIERE TOTAL;EXTERNAT NON-BOURSIERE TOTAL;INSTITUTIONS TOTAL;INTERNAT-MUNICIPAL BOURSIERES TOTAL;INTERNAT-MUNICIPAL NON-BOURSIERE TOTAL;INTERNAT-MUNICIPAL TOTAL;ENSEIGNEMENT SECONDAIRE TOTAL;ENSEIGNEMENT PRIMAIRE TOTAL;ELEVE TOTAL GENERAL;RECETTE SUBVENTION ETAT;RECETTES SUBVENTION COMMUNE;RECETTE TOTALE;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSES TOTAL;COMPARAISON EXCEDENT RECETTE;INTERNAT TARIF PENSIONNAIRE BOURSIERE;INTERNAT TOTAL RECETTE;INTERNAT TOTAL DEPENSE
1;CHARTRES ;Collège;574;7200;985.42999999999995;6214.5699999999997;8;50;0;5;7;12;27;31;58;8285;5332.5;23182;12520;2802;23114;68;500;5228;7603.8199999999997
2;VITRY-LE-FRAN ;Collège;760;3828;2545.5100000000002;1282.49;1;119;0;11;17;28;45;75;120;9200;13123.5;28338.93;19613.549999999999;5325;27874.290000000001;464.63999999999999;500;13235.540000000001;13235.540000000001
3;MARSEILLE ;Collège;658;840;276;564;8;139;0;0;0;0;102;45;147;4000;10057.870000000001;36640.339999999997;17305.209999999999;8040;33971.559999999998;2668.7800000000002;0;NA;NA
4;AVIGNON ;Collège;530;1524;801;723;11;120;0;3;35;38;83;48;131;2087.5;2087.5;8069.5;4973.8699999999999;1510;7170.2200000000003;899.27999999999997;500;5685;5303.2299999999996
5;CARPENTRAS ;Collège;563;1976;1339.5999999999999;636.39999999999998;3;52;0;3;6;9;26;29;55;1406.25;2484.8600000000001;4652.8599999999997;3826.8600000000001;551;4652.8599999999997;NA;510;1138;1138
6;LONS-LE-SAUNI ;Collège;647;1380;680;700;6;68;0;6;6;12;43;31;74;6200;6200;21551;15530;3806.3299999999999;21997.200000000001;NA;460;5500;5500
7;AGEN ;Collège;505;2025;745;1280;0;105;0;1;32;33;48;57;105;11325;11925;32370.130000000001;23600;3752.5;31264.25;1105.8800000000001;0;16260.379999999999;11771.620000000001
8;AUXERRE ;Collège;526;696.5;346.5;350;12;88;64;0;0;0;100;0;100;13262.5;13262.5;31437;19094.169999999998;7421.6700000000001;30880.41;556.59000000000003;0;NA;NA
9;FERE(LA) ;Collège;617;5356;3245;2111;3;107;0;13;51;64;64;46;110;7630;8553.0900000000001;20283.990000000002;15500;2470;20219.009999999998;64.980000000000004;560;34588;32988
10;CAMBRAI ;Collège;560;4350;1900;2450;0;234;0;21;79;100;106;128;234;9000;9000;38491.089999999997;29750;5050;39000;NA;500;50361;48521.800000000003
11;LILLE ;Collège;643;1710;595;1115;13;381;0;0;40;40;120;274;394;7000;31976.419999999998;71997.419999999998;38015.269999999997;18275;71997.419999999998;NA;0;27319;27122.98
12;ARMENTIERES ;Collège;518;5680;850;4830;1;58;0;12;8;20;39;20;59;7072.5;7072.5;21382.889999999999;15756.66;2640;20152.810000000001;1230.0799999999999;480;11964.99;11964.99
13;ABBEVILLE ;Collège;503;1960;792;1168;0;82;0;13;30;43;51;31;82;8200;4200;21685.02;16476.889999999999;2994.1500000000001;22236.040000000001;NA;485;37230.199999999997;33908.419999999998
14;GRENOBLE ;Collège;627;7573.2799999999997;4272.21;3301.0700000000002;6;170;41;0;0;0;96;80;176;11480;13962.639999999999;39799.639999999999;30636.669999999998;4060;39799.639999999999;NA;0;NA;NA
15;CHALON-SUR-SA ;Collège;572;571.24000000000001;308.80000000000001;262.44;6;97;0;0;0;0;56;47;103;7100;11600;26993.259999999998;18630.549999999999;2172.4899999999998;27503.040000000001;NA;0;NA;NA
16;LOUHANS ;Collège;650;3140;1580;1560;6;104;0;17;37;54;73;37;110;7700;5200;18890;14755.27;2310.5;18610.77;279.23000000000002;400;22000;21400
17;ALAIS ;Collège;508;722;222;500;3;98;0;0;0;0;73;28;101;1073;1828.5;5746;4022.5999999999999;1230;5746;NA;0;NA;NA
18;BEZIERS ;Collège;546;1068.6500000000001;479.69999999999999;588.95000000000005;6;90;0;0;0;0;44;52;96;7200;15114.75;36732.099999999999;23354.16;4237.5;36363.980000000003;368.12;0;NA;NA
19;SAUMUR ;Collège;729;23500;2644;20856;8;110;0;22;36;58;72;46;118;7925;7925;25845.150000000001;17039.73;5112.5;25343.169999999998;501.98000000000002;500;31586.799999999999;31570.310000000001
20;TARBES ;Collège;739;4180.75;804.5;3376.25;17;69;0;0;21;21;58;28;86;7825;11633;27150;19484.709999999999;4600;26584.709999999999;565.28999999999996;0;8495;9400
21;VIC-BIGORRE ;Collège;752;4465;976;3489;2;60;0;16;17;33;44;18;62;5800;4300;15358.65;10903.889999999999;2227.5;15093.889999999999;264.75999999999999;530;15851;15787.5
22;ALBI ;Collège;509;978.36000000000001;397.92000000000002;580.44000000000005;16;89;0;0;0;0;72;33;105;6800;6800;24707.25;17803.889999999999;3469.5500000000002;23550.509999999998;1156.74;0;NA;NA
