ETABLISSEMENTS;TYPE ETABLISSEMENTS;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE FRAIS ETUDES;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES LIBRE;ELEVE EXTERNES TOTAL;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;ELEVE TOTAL GENERAL
ROLLIN;college;15680;6976;8704;154097;971742;519547.39000000001;204030.88;248163.51000000001;971742;0;2;59;274;269;604;639;677;108;42;3;35;2;43;84;101;84;84;111;90;120;864;105;105;87;0;0;0;297;1281
BEAUVAIS;college;11000;2970;8030;12239.25;175824;73297.5;59247.25;43279.709999999999;175824;22;0;6;134;11;174;102;125;28;10;1;13;2;8;24;21;29;17;17;16;21;186;25;33;20;6;5;3;92;299
BLOIS;college;4800;1480;3320;7216.0500000000002;115304;65247.129999999997;29679.759999999998;20376.790000000001;115304;16;6;1;38;17;78;102;102;9;0;2;2;1;8;8;9;8;12;15;18;31;92;23;13;11;4;0;6;57;180
CHALONS-SUR-MARNE;college;7440;2957;4483;13848;98576;49740.480000000003;38082.739999999998;13653.82;101477;7;6;0;37;10;60;160;161;24;4;1;6;3;6;14;12;4;21;17;21;37;133;20;13;17;1;0;0;51;221
CHATEAUDUN;college;2079;854;1225;4000;46991;25140;16000;3500;44640;4;3;0;29;3;39;68;68;9;2;0;2;0;5;6;5;6;7;4;8;20;54;10;15;8;0;0;0;33;107
CLERMONT;college;6096;419;5677;1674.4000000000001;31301;18096.59;8300;3732;30129;6;0;0;13;1;20;50;50;4;0;0;0;0;0;0;2;4;2;9;4;27;25;10;4;3;1;0;0;18;70
COMPIEGNE;college;8870;2564;6306;11182.5;150873;66650.020000000004;56692.129999999997;27530.57;150873;13;0;0;117;7;137;125;125;12;6;0;7;0;8;8;18;18;12;14;17;37;120;36;30;29;6;4;0;105;262
COULOMMIERS;college;12514;2319;10195;9000;100500;29300;38600;27200;95100;12;1;0;83;7;103;53;54;12;1;0;6;2;3;8;16;10;11;17;11;15;97;15;17;7;6;0;0;45;157
DREUX;college;7000;1500;5500;11213.25;86936;45485;24685;12540.35;82710;15;5;0;67;4;91;53;53;9;5;0;4;0;3;3;9;13;7;19;13;14;85;25;11;6;3;0;0;45;144
EPERNAY;college;3020;1116;1904;15000;82965;47200;30000;4000;81200;12;8;0;26;11;57;147;148;4;6;0;3;0;5;7;14;16;12;22;16;40;105;20;21;10;4;3;2;60;205
ETAMPES;college;4885;2236;2649;6885;77285;29700;35000;3000;67700;9;1;0;72;10;92;47;47;17;3;0;5;0;4;9;12;11;12;15;6;5;94;8;11;12;6;3;0;40;139
FONTAINEBLEAU;college;15000;1600;13400;11840;81550;48350;19830;9000;77180;17;0;0;33;10;60;73;84;12;3;4;1;0;6;6;10;14;12;23;10;16;101;9;8;10;0;0;0;27;144
MEAUX;college;11214.219999999999;2251.9899999999998;8962.2299999999996;10489.1;161465;72061.259999999995;55108.169999999998;33991.059999999998;161160;25;8;1;146;17;199;88;98;18;3;1;10;4;13;15;14;22;27;9;9;38;145;20;33;29;21;6;5;114;297
MELUN;college;13000;3784;9216;4920;192929;91716;60343;40870;192929;28;19;4;135;19;205;50;64;21;7;0;9;0;9;10;12;12;20;19;12;16;131;30;51;24;10;3;4;122;269
MONTARGIS;college;3036;836;2200;3080;55570;28900;21500;3900;54300;10;0;0;45;18;73;83;83;9;1;0;0;1;4;6;12;5;5;18;16;27;77;34;10;8;0;0;0;52;156
NOGENT-LE-ROTROU;college;15000;3000;12000;3250;72780;27100;36000;5300;68400;7;5;0;64;27;103;66;72;17;2;0;1;3;5;0;5;10;8;13;15;43;79;20;24;6;3;0;0;53;175
PONTOISE;college;2744;560;2184;5000;60220;19800;33000;4000;56800;9;1;0;54;15;79;47;56;8;1;0;5;0;0;9;5;9;8;0;0;41;45;20;14;15;0;0;0;49;135
PROVINS;college;12733;1460;11273;5000;55750;21300;20500;8300;50100;10;0;1;35;5;51;49;58;19;2;0;5;0;1;1;4;4;6;6;7;15;55;0;25;11;3;0;0;39;109
