;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE SUBVENTION ETAT;RECETTE SUBVENTION COMMUNE;RECETTE PRODUIT ETAT;RECETTE PRODUIT DEPARTEMENT;RECETTE PRODUIT COMMUNE;RECETTE COMPLEMENT FRAIS;RECETTE PRODUIT EXTERNAT SURVEILLE;RECETTE PRODUIT EXTERNAT SIMPLE;RECETTE COTISATION;"RECETTE TOTALE
";TARIF BOURSIER DEMI-PENSIONNAIRE;TARIF BOURSIER EXTERNE;TARIF ELEVE LIBRE PENSIONNAIRE 2;TARIF ELEVE LIBRE PENSIONNAIRE 1;TARIF ELEVE LIBRE PENSIONNAIRE PRIMAIRE;TARIF ELEVE LIBRE SURVEILLE 2;TARIF ELEVE LIBRE SURVEILLES 1;TARIF ELEVE LIBRES SURVEILLES PRIMAIRE;TARIF ELEVE LIBRES SIMPLE 2;TARIF ELEVE LIBRES SIMPLE 1;TARIF ELEVE LIBRES SIMPLE PRIMAIRE;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSE PERSONNEL TOTAL;DEPENSE PROFESSEUR TRAITEMENT;DEPENSE PROFESSEUR INDEMNITES;DEPENSE PROFESSEUR TOTAL;DEPENSE PROFESSEUR OU MAITRESSE TRAITEMENT;DEPENSE PROFESSEUR OU MAITRESSE INDEMNITES;DEPENSE PROFESSEUR OU MAITRESSE TOTAL;DEPENSE PERSONNEL MAITRE OU MAITRESSE;DEPENSE PERSONNEL AGENT;DEPENSE PERSONNEL TOTAL;DEPENSE NOURRITURE;DEPENSE MATERIEL IMPRIMERIE;DEPENCE FRAIS PRIX;DEPENSE MATERIEL BIBLIOTHEQUE;DEPENSE MATERIEL TOTAL;DEPENSES TOTAL;REPORT TOTAL RECETTES;COMPARAISON EXCEDENT RECETTE;COMPARAISON EXCEDENT DEPENSE;INTERNATS SUBVENTION;INTERNATS PRODUIT ETAT;INTERNATS PRODUIT DEPARTEMENT;INTERNATS PRODUIT COMMUNE;INTERNATS COMPLEMENT;INTERNATS RECETTE DIVERS;INTERNATS TROUSSEAUX;INTERNATS RECETTE TOTALE;INTERNAT PRIX BOURSIERE PENSIONNAIRE;INTERNAT PRIX BOURSIERE DEMI-PENSIONNAIRE;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE 2;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE 1;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE PRIMAIRE;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE 2;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE 1;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE PRIMAIRE;INTERNAT DEPENSE PERSONNEL;INTERNAT DEPENSE PERSONNEL AUMONIER;INTERNAT DEPENSE PERSONNEL AUMONIER AGENTS;INTERNAT DEPENSE PERSONNEL TOTAL;INTERNAT DEPENSE MATERIEL NOURRITURE;INTERNAT DEPENSE MATERIEL HABILLEMENT;INTERNAT DEPENSE MATERIEL CHAUFFAGE;INTERNAT DEPENSE MATERIEL TROUSSEAU;INTERNAT DEPENSE MATERIEL TOTAL;INTERNAT SOMMES VERSEES;INTERNAT DEPENSES TOTAL;INTERNAT REPORT TOTAL RECETTES;INTERNAT COMPARAISON EXCEDENT RECETTE;INTERNAT COMPARAISON EXCEDENT DEPENSE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE NATIONALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE DEPARTEMENTALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE COMMUNALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE NATIONALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE DEPARTEMENTALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE COMMUNALE;EXTERNAT EXTERNE BOURSIERE NATIONALE;EXTERNAT EXTERNE BOURSIERE DEPARTEMENTALE;EXTERNAT EXTERNE BOURSIERE COMMUNALE;EXTERNAT BOURSIERE TOTAL;EXTERNAT DEMI-PENSIONNAIRE NON-BOURSIERE;EXTERNAT SURVEILLES NON-BOURSIERE;EXTERNAT LIBRE NON-BOURSIERE;EXTERNAT NON-BOURSIERE INSTITUTIONS;EXTERNAT NON-BOURSIERE INTERNATS MUNICIPAUX;EXTERNAT NON-BOURSIERE TOTAL;EXTERNAT TOTAL;INSTITUTIONS BOURSIERE NATIONALE;INSTITUTIONS BOURSIERE DEPARTEMENTALE;INSTITUTIONS BOURSIERE COMMUNALE;INSTITUTIONS BOURSIERE TOTAL;INSTITUTIONS LIBRES;INSTITUTIONS TOTAL;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE NATIONALE;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE DEPARTEMENTALE;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE COMMUNALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE NATIONALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE DEPARTEMENTALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE COMMUNALE;INTERNAT-MUNICIPAL BOURSIERES TOTAL;INTERNAT-MUNICIPAL PENTIONNAIRE NON-BOURSIERE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE NON-BOURSIERE;INTERNAT-MUNICIPAL NON-BOURSIERE TOTAL;INTERNAT-MUNICIPAL TOTAL;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 6 SCIENCES;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 6 LETTRES;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 5;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 4;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 3;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 2;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 1;ENSEIGNEMENT SECONDAIRE TOTAL;ENSEIGNEMENT PRIMAIRE CLASSE PRIMAIRE;ENSEIGNEMENT PRIMAIRE CLASSE ENFANTINE;ENSEIGNEMENT PRIMAIRE TOTAL;ELEVE TOTAL GENERAL;NOMBRE ELEVE SEVRES
1;0;FRANCE;0;NA;-0.01;-0.01;-0.01;496820;13800.110000000001;36655.370000000003;444;35472.5;138226.48999999999;87586.5;192443.25;62627.32;1064075.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;122429.59;16721.32;139150.91;422767.56;37139.029999999999;459906.59000000003;23225;40200.129999999997;63425.129999999997;94819.399999999994;44527.660000000003;801829.68999999994;70507.880000000005;117473;22851.560000000001;15836.860000000001;226669.29999999999;1028498.99;1064075.54;43411.019999999997;7834.4700000000003;4680.7200000000003;30781.599999999999;5507.5;2850;127991.73;30564.990000000002;15490.110000000001;217866.64999999999;NA;-0.01;NA;NA;NA;NA;NA;NA;24734.509999999998;3821.8499999999999;13061.84;41618.199999999997;85594.169999999998;12630.889999999999;30513.889999999999;12268.940000000001;141006.98999999999;31024.279999999999;213649.47;217866.64999999999;4217.1800000000003;NA;44;0;26;1;0;0;97;3;133;304;289;597;1600;210;330;3026;3330;41;15;2;58;152;210;66;21;3;1;0;3;94;216;20;236;330;59;55;190;262;467;499;473;2005;1142;183;1325;3330;57
2;1;FENELON(JF);9;1883;3605.8499999999999;1913.45;1692.4000000000001;15000;NA;19484.369999999999;0;NA;79186.600000000006;18553.75;20748.75;30266.630000000001;183240.10000000001;700;350;800;700;600;400;350;300;300;250;200;12325;900;13225;66221.669999999998;1253.3299999999999;67475;9100;600;9700;15983.32;5300;111683.32000000001;35238.209999999999;23472.880000000001;2271.6999999999998;3057.6500000000001;64040.440000000002;175723.76000000001;183240.10000000001;7516.3400000000001;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;28;0;0;0;0;0;14;0;0;42;120;64;136;0;0;320;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;18;26;59;53;47;241;121;0;121;362;23
3;1;RACINE(JF);10;1887;1172.27;840.64999999999998;331.62;10000;NA;481.25;0;NA;3886.25;462.5;1607.5;908.5;17346;700;350;800;700;600;400;350;300;300;250;200;1250;870;2120;6566.3900000000003;NA;6566.3900000000003;1130;NA;1130;1527.79;677.00999999999999;12021.190000000001;2220.98;6287.6700000000001;NA;996.95000000000005;9505.6000000000004;21526.790000000001;17346;NA;4180.79;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;3;0;0;0;0;0;0;0;0;3;34;5;37;0;0;76;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12;10;22;47;32;0;32;79;0
4;4;REIMS(JF);NA;1885;2213;1290;923;28000;631.70000000000005;125;0;2000;10098.139999999999;8119.75;10170.67;4706.8299999999999;63852.089999999997;425;125;450;425;400;190;160;140;130;100;80;7400;300;7700;22262.220000000001;952.5;23214.720000000001;1600;2796;4396;5958.3299999999999;3193.9899999999998;44463.040000000001;6247.1499999999996;9926.9300000000003;1700;874.10000000000002;18748.18;63211.220000000001;63852.089999999997;640.87;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;4;0;0;0;1;0;0;5;29;67;122;15;0;233;238;6;1;0;7;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;6;15;24;37;35;117;87;34;121;238;0
5;1;NICE(JF);87;1887;4000;2115;1885;7000;NA;180;0;900;990;1014.5;5050;1456.4100000000001;16590.91;450;150;500;450;400;210;185;160;150;125;100;1000;387;1387;5080.2799999999997;472.5;5552.7799999999997;NA;688.66999999999996;688.66999999999996;1037.5;750;9415.9500000000007;619.70000000000005;1106.48;NA;1085.77;2811.9499999999998;12227.9;16590.91;4363.0100000000002;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;3;0;0;0;4;0;8;15;8;21;173;0;0;202;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;26;26;31;99;96;22;118;217;0
6;2;BESANCON(JF);28;1882;965;568;397;27000;NA;690;0;1440;807.5;2500;9281;914.08000000000004;42632.580000000002;475;120;525;475;425;185;160;140;125;100;80;6915.2600000000002;1500;8415.2600000000002;19100;1800;20900;NA;2870;2870;4250;1950;38385.260000000002;483.22000000000003;2743.1100000000001;998.45000000000005;479.89999999999998;4704.6800000000003;43089.940000000002;42632.580000000002;NA;457.36000000000001;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;0;0;0;0;5;0;7;12;2;22;77;32;0;133;145;12;3;2;17;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;19;11;22;21;23;96;49;0;49;145;2
7;3;BORDEAUX(JF);31;1883;2016.24;1185.24;831;32000;1000;2587.5;0;4950;19531.25;3605.5;12937.5;6346;82957.75;525;150;575;525;475;250;210;180;170;130;100;6400;910;7310;27433.32;3660;31093.32;2510;2240;4750;7125;4570;54848.32;9549.5799999999999;13430.1;1590.8;890.33000000000004;25460.810000000001;80309.130000000005;82957.75;2648.6199999999999;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;3;0;6;0;0;0;6;0;12;27;42;14;96;0;0;152;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;17;13;23;28;31;120;59;0;59;179;0
8;2;HAVRE(LE);56;1885;3189.5;1204;1985.5;30000;1339.5;525;0;3825;5453.75;7475;12678;2217.1599999999999;63513.410000000003;525;120;575;525;475;230;170;150;180;120;100;5600;1410;7010;27450;300;27750;1800;837.5;2637.5;7400.0100000000002;3460;48257.510000000002;4344.6000000000004;9987.5200000000004;1264.7;669.41999999999996;16266.24;64523.75;63513.410000000003;NA;1010.34;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;1;0;4;0;0;0;0;0;0;5;10;54;111;4;0;179;184;2;2;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;10;19;19;63;121;0;121;184;1
9;4;ROUEN(JF);107;1882;3000;1330;1670;33000;NA;586.5;0;2400;NA;9991.5;8185.75;1476.6199999999999;55640.370000000003;525;120;575;525;475;185;160;140;125;100;80;7025;500;7525;21900;2700;24600;2200;2615.1599999999999;4815.1599999999999;5995.8299999999999;3316;46251.989999999998;NA;4667.4499999999998;1699.0999999999999;1105.55;7472.1000000000004;53724.089999999997;55640.370000000003;1916.28;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;2;0;0;0;0;0;2;0;11;15;0;67;60;34;0;161;176;6;2;0;8;26;34;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;26;25;22;95;61;20;81;176;0
10;4;GUERET(JF);54;1887;23500;2798;20702;7000;416.75;NA;0;270;NA;102;2027;514.75;10330.5;0;100;0;0;0;180;160;130;120;100;70;1194.3499999999999;471;1665.3499999999999;1943.55;459.69999999999999;2403.25;NA;318.30000000000001;318.30000000000001;1075;221.59999999999999;5683.5;NA;1952.8800000000001;NA;NA;1952.8800000000001;7636.3800000000001;10330.5;2694.1199999999999;NA;NA;1072.5;2160;NA;3723.9499999999998;1677.3;1889;10522.75;600;NA;600;575;550;350;325;300;794.39999999999998;NA;387.30000000000001;1181.7;3609.9099999999999;314.66000000000003;1666.5799999999999;1845;7436.1499999999996;778.14999999999998;9396;10522.75;1126.75;NA;0;0;0;0;0;0;0;0;0;0;0;2;26;0;47;75;75;0;0;0;0;0;0;9;12;0;0;0;0;21;26;0;26;47;0;0;1;19;13;19;14;66;9;0;9;75;0
