;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE SUBVENTION ETAT;RECETTE SUBVENTION DEPARTEMENT;RECETTE BOURSES ETAT;RECETTE BOURSES DEPARTEMENT;RECETTE BOURSES COMMUNE;RECETTE BOURSES FONDATION;RECETTE COMPLEMENTS;RECETTE FRAIS ETUDES;RECETTE LYCEE RENTES;RECETTE DIVERSES EX;RECETTE TROUSSEAU;RECETTE TOTALE;PRIX BOURSE PENSION;PRIX BOURSE DEMI-PENSION;PRIX BOURSE EXTERNES;PRIX PENSION ELEMENTAIRE;PRIX PENSION GRAMMAIRE;PRIX PENSION SUPERIEUR;PRIX PENSION MATHEMATIQUES;RETRIBUTION FRAIS ELEMENTAIRE;RETRIBUTION FRAIS GRAMMAIRE;RETRIBUTION FRAIS SUPERIEUR;RETRIBUTION FRAIS MATHEMATIQUES;RETRIBUTION ADMISSION;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSE PERSONNEL TOTAL;DEPENSE PERSONNEL CLASSIQUE TRAITEMENT;DEPENSE PERSONNEL CLASSIQUE INDEMNITES;DEPENSE PERSONNEL CLASSIQUE TOTAL;DEPENSE PERSONNEL SPECIAL TRAITEMENT;DEPENSE PERSONNEL SPECIAL INDEMNITES;DEPENSE PERSONNEL SPECIAL TOTAL;DEPENSE PERSONNEL MAITRE;DEPENSE PERSONNEL SUBVEILLANT;DEPENSE PERSONNEL MEDECIN;DEPENSE PERSONNEL AGENT;DEPENSE PERSONNEL TOTAL;DEPENSE NOURRITURE;DEPENSE MATERIEL HABILLEMENT;DEPENSE MATERIEL CHAUFFAGE;DEPENSE FRAIS SERVICE;DEPENSE MATERIEL BIBLIOTHEQUE;DEPENSE MATERIEL TROUSSEAU;DEPENSE MATERIEL TOTAL;DEPENSES TOTAL;REPORT TOTAL RECETTES;COMPARAISON RECETTE;COMPARAISON DEPENSE;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE BOURSE FONDATION;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES BOURSE NATIONALE;ELEVE EXTERNE BOURSE DEPARTEMENTALE;ELEVE EXTERNE BOURSE COMMUNALE;ELEVE EXTERNE SURVEILLE;ELEVE EXTERNES LIBRE;ELEVE EXTERNE ETABLISSEMENT;ELEVE EXTERNES TOTAL;ELEVES TOTAL GENERAL;ELEVE CLASSE MATHEMATIQUES SUPERIEUR NOUVEAU;ELEVE CLASSE MATHEMATIQUES SUPERIEUR VETERAN;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE MATHEMATIQUES PREPA;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL TOTAL;REPARTITION ELEVE TOTAL;EN PREPA ECOLE NORMALE LETTRE;EN PREPA ECOLE NORMALE SCIENCE;EN PREPA ECOLE POLYTECHNIQUE;EN PREPA ECOLE SAINT-CYR;EN PREPA ECOLE NAVALE;EN PREPA ECOLE FORESTIERE;EN PREPA ECOLE CENTRALE;EN PREPA ECOLE NORMALE CLUNY;877 ELEVE CLASSIQUE PASS;878 ELEVE CLASSIQUE PASS;879 ELEVE CLASSIQUE PASS;880 ELEVE CLASSIQUE PASS;881 ELEVE CLASSIQUE PASS;882 ELEVE CLASSIQUE PASS;883 ELEVE CLASSIQUE PASS;884 ELEVE CLASSIQUE PASS;885 ELEVE CLASSIQUE PASS;886 ELEVE CLASSIQUE PASS;887 ELEVE CLASSIQUE PASS;ELEVE CLASSIQUE TOTAL;ELEVE SPECIAL PASSE;878 ELEVE SPECIAL PASSE;879 ELEVE SPECIAL PASSE;880 ELEVES SPECIAL PASSE;881 ELEVES SPECIAL PASSE;882 ELEVES SPECIAL PASSE;883 ELEVES SPECIAL PASSE;884 ELEVES SPECIAL PASSE;885 ELEVES SPECIAL PASSE;886 ELEVES SPECIAL PASSE;887 ELEVES SPECIAL PASSE;ELEVES SPECIAL TOTAL
1;0;FRANCE;0;NA;-0.01;-0.01;-0.01;7741596.2800000003;83872.850000000006;1931982.6899999999;351411.73999999999;707716.75;80605.479999999996;15108822;3661064.8100000001;11469.620000000001;1095399.6499999999;1783068.6399999999;32496508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2296217.1400000001;172745.5;2388809.0499999998;9502433.4900000002;1301796.99;10804232;1544587.1100000001;265291.56;1800879.0800000001;693919.92000000004;1846955.04;124525.10000000001;1087026.3799999999;18805005;6908451.54;1392585.26;2815372.96;300908.51000000001;189068.10999999999;1669119.8600000001;13275504;32030509;32392510;564608.19999999995;249789.48999999999;2711;674;865;206;14860;5499;24815;206;172;756;2511;21638;1683;26966;51781;802;734;3715;1535;1495;183;2323;486;2326;3596;4111;3914;3952;3604;2906;5411;41093;312;671;1147;2232;3328;2998;10688;51718;173;279;943;807;319;55;148;39;517;518;598;803;674;618;1021;874;965;1183;1650;9421;109;111;121;243;146;141;285;143;138;240;389;2070
2;0;PARIS;0;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;95;102;89;139;120;282;276;296;316;561;2344;2;5;5;10;7;6;9;15;15;11;119;204
3;1;LOUIS-LE-GRAND;1;1802;15413.299999999999;7074;8339.2999999999993;207192.5;NA;66299;1875;49601.25;7440;658668;181286.75;173;30530.029999999999;87926.309999999998;1290992;1200;675;250;1100;1300;1500;1650;250;300;350;400;100;54850;7258.3400000000001;62108.339999999997;434683.23999999999;67599.309999999998;502283;NA;NA;NA;28886.669999999998;82332.630000000005;5760;50987.790000000001;732353;264118.20000000001;45915.129999999997;118032.2;11576.860000000001;6799.46;86583.979999999996;533026;1265384;1290992;25608.380000000001;NA;59;2;45;4;228;126;464;7;0;0;1;262;224;494;958;34;48;108;35;69;57;97;78;110;164;158;0;0;0;0;0;958;0;0;0;0;0;0;0;958;65;27;79;39;0;0;8;0;33;37;43;18;43;37;30;31;32;41;25;370;0;0;0;0;0;0;0;0;0;0;0;0
4;1;LOUIS-LE-GRAND-PL;2;1881;13504.299999999999;5488.8000000000002;8015.5;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;-0.01;-0.01;5;0;20;3;110;170;308;0;0;0;0;259;55;314;622;0;0;0;0;0;0;0;0;0;0;0;173;175;118;78;78;622;0;0;0;0;0;0;0;622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;1;HENRI IV;3;1803;20648.5;5572.3000000000002;15076.200000000001;184760;NA;102100;1875;36461.25;NA;329663;75355.25;881;95554.050000000003;32821.800000000003;859472;1200;675;250;1100;1300;1500;1650;250;300;350;400;100;41480.540000000001;6100.5200000000004;47581.059999999998;282172.52000000002;34445;316618;NA;NA;NA;15538.35;59700.230000000003;5560;20404.459999999999;465402;153413.29999999999;38228.650000000001;47923.989999999998;7445.1199999999999;4734.4499999999998;141590.20999999999;393336;858737;859472;734.24000000000001;NA;92;1;40;1;187;119;440;4;0;0;28;246;29;307;747;24;11;75;17;31;21;56;23;34;69;85;81;92;54;38;36;747;0;0;0;0;0;0;0;747;44;10;22;19;0;0;6;0;7;19;20;21;20;22;18;30;15;13;12;197;0;0;0;0;0;0;0;0;0;0;0;0
6;1;SAINT-LOUIS;4;1812;13117.959999999999;6963.9099999999999;6154.0500000000002;176318.04999999999;NA;44253.75;675;38752.5;1300;452936;132254.29999999999;150;30794.68;52066.800000000003;929501;1200;675;250;1100;1300;1500;1650;250;300;350;400;100;35005.550000000003;2605.8299999999999;37611.379999999997;284294.53000000003;103670.45;387965;NA;NA;NA;13000;58663.580000000002;4360;18942.990000000002;520543;176972.04999999999;17711.080000000002;112444.96000000001;5240.8100000000004;6725.5500000000002;44530.919999999998;363625;884168;929501;45333.029999999999;NA;46;0;6;1;274;90;417;5;0;0;0;364;95;464;881;104;168;333;45;19;0;36;5;17;27;41;32;25;17;12;0;881;0;0;0;0;0;0;0;881;0;54;130;110;17;4;70;0;0;0;0;0;0;0;160;147;130;128;155;720;0;0;0;0;0;0;0;0;0;0;0;0
7;1;CHARLEMAGNE;5;1803;6409.6300000000001;2708.1700000000001;3701.46;207974.95999999999;NA;23540.75;2700;20250;NA;234850;194800.25;NA;32557.080000000002;NA;716673;0;675;250;680;750;800;800;250;300;350;400;100;25680.560000000001;3978.0500000000002;29658.610000000001;311217.72999999998;37832.730000000003;349050;67166.729999999996;14509.27;81676;18060;70018.369999999995;960;18134.799999999999;567558;78103.940000000002;452.82999999999998;57014.449999999997;8660.5200000000004;6455.1599999999999;NA;150687;718245;716673;NA;1571.8499999999999;27;3;29;1;0;313;373;17;0;0;104;492;125;738;1111;13;17;50;14;36;1;25;3;66;87;117;84;83;88;66;39;789;10;17;30;63;94;108;322;1111;6;11;26;6;4;1;8;0;2;3;2;2;3;5;4;3;6;2;3;35;0;0;0;1;3;0;2;4;1;3;4;18
8;1;CONDORCET;6;1803;5600;3600;2000;191266.64000000001;NA;17981.25;1350;19237.5;950;274962;370096.09999999998;NA;11699.780000000001;NA;887543;0;675;250;700;750;1000;1000;250;300;350;400;100;36291.650000000001;6291.6499999999996;42583.300000000003;512412.48999999999;65579.139999999999;577992;NA;NA;NA;17250;65361;1560;26740.349999999999;731486;89915.330000000002;423.94999999999999;58354.410000000003;11886.629999999999;5970;NA;166550;898037;887543;NA;10493.68;21;2;19;1;0;155;198;9;0;0;0;605;276;890;1088;35;30;120;33;95;7;151;20;147;225;225;0;0;0;0;0;1088;0;0;0;0;0;0;0;1088;6;10;58;24;0;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0
9;1;CONDORCET-PL;7;1881;2880;1550;1330;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;NA;NA;-0.01;-0.01;2;0;13;0;0;193;208;1;0;0;0;459;94;554;762;0;0;0;0;0;0;0;0;0;0;0;242;195;147;73;105;762;0;0;0;0;0;0;0;762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1;JANSON-DE-SAILLY;8;1876;32744.439999999999;9000;23744.439999999999;101487.34;NA;55556.25;NA;15912.5;NA;610280;152322.5;NA;35641.5;107490.45;1078691;1200;675;250;1100;1300;1500;1650;250;300;350;400;100;40625;4880;45505;277274.96000000002;39170.370000000003;316445;58065.290000000001;20290.380000000001;68355.669999999998;20222.220000000001;58088.470000000001;5560;19194.490000000002;533371;191346.45000000001;44596.160000000003;162371.41;7922.8100000000004;6628.6599999999999;75221.369999999995;488087;1021458;1078691;57232.980000000003;NA;57;0;21;0;371;330;779;5;0;2;0;620;94;721;1500;13;17;76;47;22;1;59;7;69;95;141;139;134;134;112;135;1201;3;10;35;81;96;74;299;1500;7;5;16;15;0;0;2;0;0;0;0;0;0;0;0;16;29;36;24;105;0;0;0;0;0;0;0;4;6;3;3;16
